province,country,color
Alaska,US,green
Guam,US,green
Hawaii,US,green
Montana,US,green
Vermont,US,green
Virgin Islands,US,green
Wyoming,US,green
Connecticut,US,orange
Idaho,US,orange
Kansas,US,orange
Michigan,US,orange
New Jersey,US,orange
New York,US,orange
North Dakota,US,orange
Massachusetts,US,red
Illinois,US,red
California,US,red
Pennsylvania,US,red
Florida,US,red
Texas,US,red
Louisiana,US,red
Georgia,US,red
Maryland,US,red
Indiana,US,red
Ohio,US,red
Virginia,US,red
Washington,US,red
Colorado,US,red
Tennessee,US,red
North Carolina,US,red
Arizona,US,red
Rhode Island,US,red
Iowa,US,red
Missouri,US,red
Wisconsin,US,red
Alabama,US,red
Minnesota,US,red
Mississippi,US,red
South Carolina,US,red
Nevada,US,red
Nebraska,US,red
Kentucky,US,red
Utah,US,red
Delaware,US,red
District of Columbia,US,red
Oklahoma,US,red
New Mexico,US,red
Arkansas,US,red
South Dakota,US,red
New Hampshire,US,red
Maine,US,red
West Virginia,US,red
Puerto Rico,US,red 
Oregon,US,red










